"Name","High","Hour","Time"
"BYND","140.91","09","12/01/2020 09:40:00"
"BYND","139.15","10","12/01/2020 10:00:00"
"BYND","138.5","11","12/01/2020 11:25:00"
"BYND","138.72","12","12/01/2020 12:30:00"
"BYND","138.88","13","12/01/2020 13:40:00"
"BYND","138.67","14","12/01/2020 14:05:00"
"BYND","137.89","15","12/01/2020 15:35:00"
"DDOG","98.8","09","12/01/2020 09:30:00"
"DDOG","96.88","10","12/01/2020 10:00:00"
"DDOG","95.89","11","12/01/2020 11:25:00"
"DDOG","95.54","12","12/01/2020 12:10:00"
"DDOG","95.49","13","12/01/2020 13:55:00"
"DDOG","95.74","14","12/01/2020 14:05:00"
"DDOG","96.03","15","12/01/2020 15:50:00"
"FB","284.93","09","12/01/2020 09:50:00"
"FB","286.11","10","12/01/2020 10:20:00"
"FB","288.95","11","12/01/2020 11:50:00"
"FB","289.3","12","12/01/2020 12:35:00"
"FB","288.96","13","12/01/2020 13:50:00"
"FB","288.75","14","12/01/2020 14:15:00"
"FB","287.12","15","12/01/2020 15:00:00"
"NFLX","505.19","09","12/01/2020 09:45:00"
"NFLX","507.42","10","12/01/2020 10:15:00"
"NFLX","504.54","11","12/01/2020 11:10:00"
"NFLX","506.48","12","12/01/2020 12:25:00"
"NFLX","509.47","13","12/01/2020 13:30:00"
"NFLX","507.49","14","12/01/2020 14:10:00"
"NFLX","505.34","15","12/01/2020 15:55:00"
"OKTA","244.27","09","12/01/2020 09:30:00"
"OKTA","241.4","10","12/01/2020 10:00:00"
"OKTA","239.5","11","12/01/2020 11:15:00"
"OKTA","239.0","12","12/01/2020 12:10:00"
"OKTA","240.04","13","12/01/2020 13:45:00"
"OKTA","238.87","14","12/01/2020 14:00:00"
"OKTA","237.87","15","12/01/2020 15:45:00"
"PINS","71.1","09","12/01/2020 09:30:00"
"PINS","69.52","10","12/01/2020 10:15:00"
"PINS","69.39","11","12/01/2020 11:25:00"
"PINS","69.15","12","12/01/2020 12:05:00"
"PINS","69.25","13","12/01/2020 13:45:00"
"PINS","69.08","14","12/01/2020 14:00:00"
"PINS","68.37","15","12/01/2020 15:50:00"
"SHOP","1086.0","09","12/01/2020 09:55:00"
"SHOP","1087.73","10","12/01/2020 10:00:00"
"SHOP","1077.85","11","12/01/2020 11:30:00"
"SHOP","1076.81","12","12/01/2020 12:05:00"
"SHOP","1081.84","13","12/01/2020 13:50:00"
"SHOP","1075.17","14","12/01/2020 14:10:00"
"SHOP","1072.28","15","12/01/2020 15:45:00"
"SNAP","45.2","09","12/01/2020 09:35:00"
"SNAP","44.85","10","12/01/2020 10:00:00"
"SNAP","44.99","11","12/01/2020 11:10:00"
"SNAP","44.92","12","12/01/2020 12:35:00"
"SNAP","45.15","13","12/01/2020 13:30:00"
"SNAP","44.97","14","12/01/2020 14:00:00"
"SNAP","44.8","15","12/01/2020 15:00:00"
"SQ","212.95","09","12/01/2020 09:30:00"
"SQ","209.55","10","12/01/2020 10:00:00"
"SQ","207.92","11","12/01/2020 11:20:00"
"SQ","207.42","12","12/01/2020 12:25:00"
"SQ","208.32","13","12/01/2020 13:25:00"
"SQ","207.45","14","12/01/2020 14:05:00"
"SQ","204.0","15","12/01/2020 15:50:00"
"TTD","905.0","09","12/01/2020 09:30:00"
"TTD","895.95","10","12/01/2020 10:00:00"
"TTD","885.78","11","12/01/2020 11:10:00"
"TTD","883.44","12","12/01/2020 12:00:00"
"TTD","892.0","13","12/01/2020 13:50:00"
"TTD","887.53","14","12/01/2020 14:25:00"
"TTD","893.16","15","12/01/2020 15:55:00"
